sim,PU,PSWU,xt_opt,cost
321,33.46456876199638,74.09026825111168,0.04999999851731072,-5.624769119037305
322,32.35520045044144,70.5053393983772,0.04999999851731072,-5.293172689645302
323,28.652959231527497,67.81001418586749,0.04999999851731072,-5.378224914058912
324,27.15739608804189,73.45514664939608,0.04999999851731072,-6.278382806764497
325,34.5894020352278,73.82136571632151,0.04999999851731072,-5.459065645491131
326,26.60859708766049,69.24627832962382,0.04999999851731072,-5.80121523657699
327,25.272093861235856,74.00437083217366,0.04999999851731072,-6.568781344587414
328,26.76645363214803,70.25453640450668,0.04999999851731072,-5.912447093983275
329,25.14205722418546,67.91222840742181,0.04999999851731072,-5.800658196984131
330,31.44655139475413,74.35847495848208,0.04999999851731072,-5.89450808279542
331,30.50975769005658,74.96786718330657,0.04999999851731072,-6.082068056162939
332,27.791182060944763,80.90521854215125,0.04999999851731072,-7.162372730607687
333,20.898469899724084,75.91921761142751,0.04999999851731072,-7.324843231759644
334,28.59290671961214,73.42593583456333,0.04999999851731072,-6.107279200547683
335,25.45975829756779,68.510337775325,0.04999999851731072,-5.84052194017106
336,32.76924396893537,75.23988174382254,0.04999999851731072,-5.8536369498416825
337,28.58196402587715,75.12010695885893,0.04999999851731072,-6.326378820323445
338,21.13805881597235,66.42231370545842,0.04999999851731072,-6.075871185727548
339,33.03180504740923,59.19814136195522,0.007110000129997521,-9.627684033360044e9
340,31.01529159926594,77.36532000352075,0.04999999851731072,-6.331380989933785
341,32.56570254834055,67.63003576144698,0.04999999851731072,-4.898947728131351
342,29.922912509313804,72.76520963393628,0.04999999851731072,-5.867279497977915
343,33.67189092545058,67.94912467849042,0.04999999851731072,-4.811017402815587
344,30.004156797711154,67.07070601853057,0.04999999851731072,-5.125651246134378
345,28.397173129148307,78.28647763269379,0.04999999851731072,-6.755029680011255
346,36.21710517039517,79.7580297526145,0.04999999851731072,-6.032604678679475
347,23.597079674370445,71.71459593144,0.04999999851731072,-6.469647645245005
348,40.561229997918765,70.28568626603672,0.007110000129997521,-1.1822263607701775e10
349,35.02843398669777,75.28357334138686,0.04999999851731072,-5.595884308664631
350,32.5730632005772,70.7245136363993,0.04999999851731072,-5.295954644141277
351,30.547713563104168,63.72649710727014,0.04999999851731072,-4.6323113236129885
352,27.886821368353274,71.19313000581073,0.04999999851731072,-5.902515092718618
353,21.27010432688696,64.83734745009852,0.04999999851731072,-5.856694482947686
354,24.64065188786855,63.36104661667391,0.04999999851731072,-5.273953477538997
355,30.587734177481643,59.00029936699705,0.04999999851731072,-4.01998639825622
356,31.91739336723888,64.4838036925278,0.04999999851731072,-4.570006665362065
357,31.655149548675116,75.36624870610399,0.04999999851731072,-5.999762351190638
358,35.59214767548293,67.8902193150778,0.04999999851731072,-4.579585517524137
359,33.03419026011633,84.23833607220459,0.04999999851731072,-6.979704716081288
360,32.68627053396295,70.17922814596673,0.04999999851731072,-5.212648481647397
361,31.67402907193624,68.17351802049387,0.04999999851731072,-5.072773494630497
362,20.712997135174938,53.13506427020764,0.04999999851731072,-4.417047785732301
363,29.83068780075353,70.54090472138655,0.04999999851731072,-5.592046182994932
364,25.661658362163696,71.22295718433828,0.04999999851731072,-6.165753456752075
365,22.276220838831293,63.265857892868574,0.04999999851731072,-5.537353711477233
366,35.73633518866521,75.50994048060588,0.04999999851731072,-5.542463732907901
367,28.04673767364482,74.32859770855549,0.04999999851731072,-6.287007656534012
368,27.42952091609946,73.23336824320067,0.04999999851731072,-6.218144618250756
369,32.851946869750684,76.66388681156808,0.04999999851731072,-6.02708367615711
370,29.85732916800055,69.13924515721672,0.04999999851731072,-5.408725420510943
371,30.391341411422612,65.81236502577721,0.04999999851731072,-4.918726178121368
372,23.705793630489616,61.667447711555525,0.04999999851731072,-5.165186313037934
373,28.890380479145755,70.59215740436083,0.04999999851731072,-5.708254323922635
374,30.306052118099444,76.22912776892812,0.04999999851731072,-6.267979019767689
375,32.456045683162735,62.50691981148132,0.04999999851731072,-4.25303899542936
376,21.84278545966286,61.39636403358062,0.04999999851731072,-5.347516773760477
377,38.08110274831501,74.9249144493936,0.04999999851731072,-5.193898849441191
378,32.96424116739807,60.202681227179355,0.007110000129997521,-9.607991381963636e9
379,27.829881577343038,78.21881268835389,0.04999999851731072,-6.81246311846391
380,31.564582251703147,63.80593444284191,0.04999999851731072,-4.523981021002778
381,30.45269404868954,68.74902815798285,0.04999999851731072,-5.289148207982679
382,32.138343666785055,69.49686283283918,0.04999999851731072,-5.188790826565719
